,Code,Name,Population,Area,Density
0,AG,Aargau,653675,1404,388
1,AI,Appenzell Innerrhoden,15974,173,87
2,AR,Appenzell Ausserrhoden,54543,243,220
3,BE,Bern,1017483,5959,158
4,BL,Basel-Landschaft,285094,518,502
5,BS,Basel-Stadt,197762,37,5072
6,FR,Fribourg,307461,1671,141
7,GE,Geneva,484736,282,1442
8,GL,Glarus,40028,685,51
9,GR,Graubünden,196610,7105,26
10,LU,Luzern,398762,1493,233
11,NE,Neuchâtel,178107,803,206
12,NW,Nidwalden,42420,276,138
13,OW,Obwalden,37076,491,66
14,SG,St. Gallen,499065,2026,222
15,SH,Schaffhausen,79836,298,246
16,SO,Solothurn,266418,790,308
17,SZ,Schwyz,154093,908,143
18,TG,Thurgau,267429,991,229
19,TI,Ticino,351946,2812,110
20,UR,Uri,35973,1077,33
21,VD,Vaud,773407,3212,188
22,VS,Valais,335696,5224,53
23,ZG,Zug,122134,239,416
24,ZH,Zürich,1463459,1729,701
