|hashtag|dayOfTweet|usersPerHashtag|spamEvent|std|approxLocation
0|#ipad2|2011-03-25|12|False|182.51730576295446|('47.375', '8.539')
1|#tedxzh|2011-10-04|11|False|170.86762958381345|('47.416', '8.561')
2|#lift11|2011-02-02|10|False|267.48202683879447|('46.220', '6.138')
3|#bosw|2011-03-31|10|False|142.3090030933052|('47.365', '8.538')
4|#lift11|2011-02-03|9|False|332.30021541375294|('46.220', '6.138')
5|#fec11|2011-09-09|9|False|285.77287222917886|('47.414', '8.549')
6|#uxcon11|2011-10-29|7|False|190.6056359069851|('46.005', '8.956')
7|#pokert|2011-02-08|7|False|93.94334301284239|('47.374', '8.525')
8|#ew11|2011-10-23|6|False|138.71314270633164|('47.408', '8.724')
9|#esc|2011-05-14|6|False|70.7176333238265|('47.363', '8.551')
10|#lift11|2011-02-04|5|False|188.30467095180717|('46.220', '6.138')
11|#applestorezh|2011-03-25|5|False|71.89350670831256|('47.375', '8.539')
12|#pokert|2011-06-21|4|False|214.94581641043152|('47.374', '8.525')
13|#smgzh|2011-06-01|4|False|67.99039831504554|('47.365', '8.548')
14|#smgzh|2011-09-07|4|False|53.68202037269803|('47.365', '8.547')
15|#pokert|2011-11-15|4|False|49.89173153222329|('47.374', '8.525')
16|#swlau|2011-03-20|4|False|49.197328301741976|('46.519', '6.568')
17|#som11|2011-03-31|4|False|40.67921604698495|('47.389', '8.519')
18|#fb|2011-08-12|3|False|173.3159891607391|('47.226', '8.819')
19|#denkfest|2011-09-09|3|False|163.73831057031978|('47.375', '8.528')
20|#fb|2011-03-27|3|False|155.2666550379272|('47.790', '7.350')
21|#som11|2011-03-30|3|False|147.13988209448104|('47.390', '8.518')
22|#smmk11|2011-03-24|3|False|140.23094324175412|('47.366', '8.538')
23|#odch11|2011-06-24|3|False|113.05739095561758|('46.939', '7.443')
24|#migipedia|2011-03-31|3|False|76.56753370640807|('47.365', '8.539')
25|#obstech|2011-11-25|3|False|61.52081199595772|('46.210', '6.135')
26|#missch|2011-09-24|3|False|33.321811851807155|('47.509', '8.721')
27|#pokert|2011-04-05|3|False|15.580476474278056|('47.374', '8.524')
28|#android|2011-08-02|2|False|350.14408595023554|('47.500', '8.750')
29|#emex11|2011-08-24|2|False|132.01658997578699|('47.412', '8.553')
30|#gdi|2011-01-26|2|False|102.18068207896957|('47.302', '8.553')
31|#tedxrc2|2011-11-27|2|False|83.90588597123143|('46.205', '6.137')
32|#gch|2011-03-09|2|False|50.71696209491329|('47.365', '8.524')
33|#fcz|2011-10-30|2|False|42.40278517357315|('47.382', '8.505')
34|#xf11|2011-08-24|2|False|40.38733477064985|('47.411', '8.553')
35|#fcz|2011-10-02|2|False|33.02080505881732|('47.382', '8.504')
36|#oasg|2011-07-03|1|True|323.0699247834796|('47.414', '9.327')
37|#oasg|2011-07-02|1|True|300.13178174982363|('47.423', '9.322')
38|#zvilla|2011-06-18|1|True|229.1981869678885|('47.226', '8.819')
39|#11icml|2011-06-15|1|True|222.09337179452638|('46.005', '8.957')
40|#utmb2011|2011-08-25|1|True|198.3342916254471|('45.923', '6.872')
41|#osx|2011-09-11|1|True|143.72269061578103|('47.500', '8.750')
42|#imkforum|2011-12-01|1|True|124.88030046151948|('46.854', '9.514')
43|#creadigitalday|2011-01-13|1|True|109.54511386999023|('46.212', '6.148')
44|#denkfest|2011-09-10|1|True|109.31622007836816|('47.375', '8.528')
45|#11icml|2011-06-16|1|True|108.53589431057749|('46.005', '8.957')
46|#18|2011-08-12|1|True|107.01029618167068|('47.235', '9.594')
47|#battesimopupo|2011-05-07|1|True|104.79153674242737|('46.074', '8.983')
48|#dtzh|2011-07-06|1|True|96.78115113386242|('47.387', '8.500')
49|#igep|2011-11-17|1|True|65.13516341018617|('46.854', '9.514')
50|#titlis|2011-10-05|1|True|54.563854290283935|('46.771', '8.423')
51|#moonandstars|2011-07-12|1|True|40.043490150023906|('46.170', '8.795')
52|#awesomezh1|2011-07-22|1|True|39.97568070728717|('47.370', '8.549')
53|#iliasconf|2011-08-18|1|True|39.637180917808834|('46.950', '7.436')
54|#gc|2011-10-02|1|True|34.10135921949866|('47.382', '8.504')
55|#letzigrund|2011-10-02|1|True|34.10135921949866|('47.382', '8.504')
56|#wettendass|2011-11-05|1|True|26.595912500389886|('47.481', '8.696')
57|#pirtage|2011-11-18|1|True|20.92221189590823|('45.919', '6.158')
58|#heimfahrt|2011-05-27|1|True|17.91621223220765|('47.144', '8.896')
59|#velo|2011-05-27|1|True|17.91621223220765|('47.144', '8.896')
60|#iae|2011-11-18|1|True|9.707682602398775|('45.919', '6.158')
61|#filmcommissionvda|2011-11-29|1|True|6.955441292991187|('45.734', '7.293')
