|dayOfTweet|approxLocation|hashtag|numOfTweets|spamEvent|usersPerHashtag|std
11924|2011-10-04|('47.416', '8.561')|#tedxzh|33|False|9|141.88844737978832
957|2011-02-02|('46.220', '6.138')|#lift11|11|False|7|199.97003050250697
13289|2011-10-29|('46.005', '8.956')|#uxcon11|13|False|5|189.831812554842
1257|2011-02-08|('47.374', '8.525')|#pokert|11|False|5|100.86757201638775
2694|2011-03-25|('47.375', '8.539')|#ipad2|17|False|5|85.5114047604086
10316|2011-09-09|('47.414', '8.549')|#fec11|8|False|4|134.6768320730118
1027|2011-02-03|('46.220', '6.138')|#lift11|6|False|3|146.27051486379105
1090|2011-02-04|('46.220', '6.138')|#lift11|10|False|3|144.65294900400602
3062|2011-03-31|('47.365', '8.539')|#bosw|32|False|3|69.40073274438745
2711|2011-03-25|('47.376', '8.539')|#applestorezh|7|False|3|26.003627428798943
10347|2011-09-09|('47.375', '8.528')|#denkfest|6|False|2|145.91006002768947
3212|2011-04-02|('46.195', '6.140')|#gfsc2011|5|False|2|107.01393284158011
2582|2011-03-24|('47.365', '8.540')|#smmk11|16|False|2|102.73567080403745
11944|2011-10-04|('47.421', '8.561')|#tedxzh|14|False|2|99.05978207713797
2417|2011-03-20|('46.519', '6.569')|#swlau|5|False|2|65.51342237367172
3088|2011-03-31|('47.365', '8.539')|#migipedia|5|False|2|62.165604459200516
2709|2011-03-25|('47.375', '8.539')|#applestorezh|11|False|2|55.11885013347735
14927|2011-11-25|('46.209', '6.135')|#obstech|5|False|2|50.08088901411839
9435|2011-08-24|('47.411', '8.553')|#xf11|6|False|2|48.11675711033334
2029|2011-03-09|('47.365', '8.524')|#gch|16|False|2|35.1400934943254
2424|2011-03-20|('46.519', '6.568')|#swlau|7|False|2|26.577673570617527
2517|2011-03-22|('46.168', '8.998')|#donnorman|5|False|2|25.166074165210766
5436|2011-06-01|('47.365', '8.548')|#smgzh|5|False|2|23.25996226231772
6493|2011-06-21|('47.374', '8.525')|#pokert|6|False|2|12.05866607337378
14330|2011-11-16|('47.371', '8.536')|#dmd2011|6|False|2|6.14703895895923
2186|2011-03-13|('47.176', '8.899')|#tamacho|6|True|1|631.8702562130366
6312|2011-06-18|('47.226', '8.819')|#zvilla|27|True|1|227.32493804786728
6089|2011-06-15|('46.005', '8.957')|#11icml|14|True|1|213.11488506463152
7641|2011-07-16|('47.499', '8.729')|#osx|5|True|1|190.5296297750621
9533|2011-08-25|('45.923', '6.872')|#utmb2011|5|True|1|185.25642331044224
4158|2011-05-02|('47.562', '7.599')|#chtd|9|True|1|168.17316921033998
10527|2011-09-11|('47.500', '8.750')|#osx|5|True|1|142.62815656259616
6223|2011-06-17|('46.005', '8.957')|#11icml|33|True|1|133.8491722066981
8879|2011-08-12|('47.226', '8.819')|#fb|6|True|1|124.26804201174204
13616|2011-11-05|('45.803', '9.095')|#tedxcomo|12|True|1|120.38615979063295
15287|2011-12-01|('46.854', '9.514')|#imkforum|12|True|1|119.77579611455958
4325|2011-05-07|('46.074', '8.983')|#battesimopupo|5|True|1|114.78011955231814
7046|2011-07-02|('47.423', '9.322')|#oasg|11|True|1|107.9577986325356
6152|2011-06-16|('46.005', '8.957')|#11icml|35|True|1|91.07211056078292
10431|2011-09-10|('47.375', '8.528')|#denkfest|6|True|1|89.83566924744203
14375|2011-11-17|('45.926', '6.157')|#iae|7|True|1|87.52116407474098
8886|2011-08-12|('47.235', '9.594')|#18|9|True|1|87.22723686143057
676|2011-01-26|('47.302', '8.553')|#gdi|14|True|1|84.59714036467079
1845|2011-03-02|('47.378', '8.530')|#fcz|5|True|1|84.57976682135956
5928|2011-06-11|('47.434', '9.406')|#scbrühl|5|True|1|77.46047622999608
7227|2011-07-06|('47.387', '8.500')|#dtzh|15|True|1|69.26172088713153
14413|2011-11-17|('46.854', '9.514')|#igep|6|True|1|68.16274280112883
2450|2011-03-20|('46.950', '7.471')|#dgst|7|True|1|48.99557780035796
6644|2011-06-24|('46.939', '7.443')|#odch11|9|True|1|47.06802274827462
9122|2011-08-18|('46.950', '7.436')|#iliasconf|6|True|1|43.59058469525353
15375|2011-12-02|('45.938', '6.119')|#workncoffee|23|True|1|42.92756291038322
10890|2011-09-17|('47.408', '8.724')|#supertalent|11|True|1|41.32581082128614
289|2011-01-13|('46.212', '6.148')|#creadigitalday|5|True|1|35.60172062009239
2422|2011-03-20|('46.518', '6.568')|#swlau|9|True|1|35.54057844280786
